op_idx,kind,ret,max_free,num_free
1,alloc,1000,97,1
2,alloc,1000,95,1
3,alloc,1000,92,1
4,alloc,1000,92,1
5,alloc,1000,98,1
6,alloc,1002,91,1
7,alloc,1002,89,1
8,alloc,1011,80,1
9,alloc,1000,95,1
10,alloc,1000,91,1
11,alloc,1009,85,1
12,alloc,1015,75,1
13,alloc,1009,75,2
14,alloc,1009,75,1
15,alloc,1000,94,1
16,alloc,1006,88,1
17,alloc,1012,86,1
18,alloc,1014,79,1
19,alloc,1021,71,2
20,alloc,1006,86,1
21,alloc,1014,77,1
22,alloc,1000,93,1
23,alloc,1007,86,1
24,alloc,1000,92,1
25,alloc,1008,83,1
26,alloc,1017,81,1
27,alloc,1000,93,1
28,alloc,1000,96,1
29,alloc,1000,90,1
30,alloc,1010,88,1
31,alloc,1012,79,1
32,alloc,1000,79,2
33,alloc,1002,79,2
34,alloc,1012,82,2
35,alloc,1005,82,2
36,alloc,1018,74,2
37,alloc,1018,75,2
38,alloc,1007,82,3
39,alloc,1010,85,2
40,alloc,1015,79,2
41,alloc,1021,70,3
42,alloc,1030,64,3
43,alloc,1036,56,3
44,alloc,1000,56,3
45,alloc,1044,53,3
46,alloc,1015,53,4
47,alloc,1036,53,5
48,alloc,1000,53,4
49,alloc,1047,46,4
50,alloc,1054,37,4
51,alloc,1063,29,4
52,alloc,1071,22,4
53,alloc,1041,22,4
54,alloc,1019,22,3
55,alloc,1036,29,3
56,alloc,1054,29,6
57,alloc,1010,29,6
58,alloc,1071,20,6
59,alloc,1000,20,6
60,alloc,1007,23,4
61,alloc,1062,23,4
62,alloc,1080,29,4
63,alloc,1070,29,3
64,alloc,1000,29,2
65,alloc,1089,29,4
66,alloc,1000,61,3
67,alloc,1080,61,3
68,alloc,1004,61,3
69,alloc,1087,65,2
70,alloc,1093,65,2
71,alloc,1098,65,2
72,alloc,1006,59,2
73,alloc,1012,54,2
74,alloc,1017,49,2
75,alloc,1022,39,2
76,alloc,1032,30,2
77,alloc,1041,23,3
78,alloc,1087,23,3
79,alloc,1041,20,4
80,alloc,1051,21,4
81,alloc,1099,21,3
82,alloc,1059,15,3
83,alloc,1012,15,2
84,alloc,1041,15,3
85,alloc,1045,15,4
86,alloc,1046,22,5
87,alloc,1017,22,5
88,alloc,1049,22,4
89,alloc,1027,22,4
90,alloc,1027,22,2
91,alloc,1065,12,3
92,alloc,1091,12,3
93,alloc,1075,5,3
94,alloc,-1,5,3
95,alloc,1096,5,2
96,alloc,1000,12,3
97,alloc,1017,12,5
98,alloc,1003,12,4
99,alloc,1026,12,3
100,alloc,1049,12,3
101,alloc,1000,12,5
102,alloc,1091,20,4
103,alloc,1075,20,4
104,alloc,1081,32,3
105,alloc,1099,32,2
106,alloc,1000,27,3
107,alloc,1049,36,3
108,alloc,1058,36,2
109,alloc,1005,31,2
110,alloc,1000,31,4
111,alloc,1099,31,3
112,alloc,1046,31,3
113,alloc,1052,31,3
114,alloc,1059,36,4
115,alloc,1056,36,3
116,alloc,1046,45,5
117,alloc,1059,45,5
118,alloc,1067,45,4
119,alloc,1099,45,3
120,alloc,1099,45,3
121,alloc,1081,45,4
122,alloc,1046,45,4
123,alloc,1091,45,4
124,alloc,1046,45,4
125,alloc,1000,35,4
126,alloc,1053,35,3
127,alloc,1054,35,3
128,alloc,1055,35,3
129,alloc,1085,35,4
130,alloc,1056,35,3
131,alloc,1054,35,3
132,alloc,1056,35,3
133,alloc,1057,35,3
134,alloc,1010,25,3
135,alloc,1020,15,3
136,alloc,1094,15,3
137,alloc,1030,5,3
138,alloc,-1,5,4
139,alloc,-1,5,4
140,alloc,-1,5,4
141,alloc,1040,10,5
142,alloc,1054,10,5
143,alloc,1056,10,4
144,alloc,1099,10,3
145,alloc,1020,4,3
146,alloc,1059,4,4
147,alloc,-1,4,4
148,alloc,-1,4,4
149,alloc,-1,4,4
150,alloc,-1,4,4
151,alloc,1026,4,4
152,alloc,-1,4,4
153,alloc,-1,4,5
154,alloc,1081,2,5
155,alloc,1085,4,6
156,alloc,1066,4,6
157,alloc,1090,2,6
158,alloc,-1,2,6
159,alloc,-1,3,6
160,alloc,-1,6,6
161,alloc,-1,6,6
162,alloc,1073,14,6
163,alloc,1056,15,5
164,alloc,1040,7,5
165,alloc,-1,7,5
166,alloc,1079,7,5
167,alloc,1048,10,5
168,alloc,1010,17,4
169,alloc,1083,9,4
170,alloc,1059,9,4
171,alloc,1091,4,4
172,alloc,-1,4,4
173,alloc,-1,4,4
174,alloc,-1,4,4
175,alloc,-1,4,4
176,alloc,1000,4,5
177,alloc,-1,4,5
178,alloc,-1,4,5
179,alloc,1098,14,5
180,alloc,1073,14,6
181,alloc,1098,14,5
182,alloc,1048,14,5
183,alloc,1083,14,5
184,alloc,1088,14,4
185,alloc,1008,14,4
186,alloc,1026,5,4
187,alloc,1016,5,4
188,alloc,-1,5,4
189,alloc,1035,7,4
190,alloc,1038,7,3
191,alloc,1019,2,2
192,alloc,-1,2,2
193,alloc,1000,9,4
194,alloc,1000,16,4
195,alloc,1083,16,4
196,alloc,1057,16,3
197,alloc,1019,9,3
198,alloc,1026,6,3
199,alloc,-1,9,3
200,alloc,1073,9,3
201,alloc,1026,2,2
202,alloc,1048,5,3
203,alloc,1077,5,3
204,alloc,1052,2,3
