op_idx,kind,ret,max_free,num_free
1,alloc,1000,97,1
2,alloc,1003,92,2
3,alloc,1008,84,3
4,alloc,1008,84,3
5,alloc,1000,84,4
6,alloc,1008,84,4
7,alloc,1016,75,5
8,alloc,1025,66,5
9,alloc,1003,66,7
10,alloc,1016,66,7
11,alloc,1008,66,7
12,alloc,1034,56,7
13,alloc,1003,56,8
14,alloc,1008,56,8
15,alloc,1008,56,10
16,alloc,1016,56,10
17,alloc,1000,56,9
18,alloc,1025,56,9
19,alloc,1034,56,10
20,alloc,1034,56,12
21,alloc,1044,47,12
22,alloc,1025,47,14
23,alloc,1034,47,14
24,alloc,1044,47,16
25,alloc,1053,38,16
26,alloc,1000,38,15
27,alloc,1025,38,17
28,alloc,1003,38,17
29,alloc,1062,28,18
30,alloc,1000,28,17
31,alloc,1053,28,16
32,alloc,1032,28,16
33,alloc,1022,28,15
34,alloc,1008,28,15
35,alloc,1042,28,14
36,alloc,1044,28,14
37,alloc,1025,28,14
38,alloc,1003,28,16
39,alloc,1008,28,17
40,alloc,1016,28,16
41,alloc,1053,28,16
42,alloc,1025,28,16
43,alloc,1044,28,15
44,alloc,1002,28,14
45,alloc,1034,28,14
46,alloc,1037,28,14
47,alloc,1016,28,16
48,alloc,1044,28,17
49,alloc,1062,28,17
50,alloc,1072,19,17
51,alloc,1081,11,18
52,alloc,1089,4,18
53,alloc,-1,4,18
54,alloc,1000,4,17
55,alloc,1016,8,19
56,alloc,1081,9,21
57,alloc,1072,6,23
58,alloc,-1,6,23
59,alloc,-1,6,24
60,alloc,1003,9,26
61,alloc,1053,7,26
62,alloc,-1,7,28
63,alloc,1002,7,27
64,alloc,1062,7,26
65,alloc,-1,7,28
66,alloc,1025,8,30
67,alloc,1000,8,29
68,alloc,1053,8,28
69,alloc,-1,8,30
70,alloc,1037,8,29
71,alloc,1003,8,29
72,alloc,1000,8,28
73,alloc,1037,8,28
74,alloc,1002,8,27
75,alloc,1008,8,28
76,alloc,1053,8,28
77,alloc,1002,8,30
78,alloc,1037,8,30
79,alloc,1025,8,30
80,alloc,-1,8,31
81,alloc,1053,8,30
82,alloc,1037,8,29
83,alloc,-1,8,29
84,alloc,1062,8,29
85,alloc,1037,8,28
86,alloc,1002,8,27
87,alloc,1000,8,27
88,alloc,1025,8,26
89,alloc,-1,8,26
90,alloc,1062,8,26
91,alloc,1008,8,27
92,alloc,-1,8,29
93,alloc,1000,8,29
94,alloc,1053,8,28
95,alloc,1002,8,29
96,alloc,1006,8,29
97,alloc,-1,8,29
98,alloc,1000,8,28
99,alloc,1062,8,27
100,alloc,1025,8,30
101,alloc,1053,8,30
102,alloc,1025,8,29
103,alloc,1025,8,30
104,alloc,1002,8,29
105,alloc,1008,8,29
106,alloc,-1,8,31
107,alloc,1002,8,30
108,alloc,1008,8,29
109,alloc,1062,8,30
110,alloc,1002,8,29
111,alloc,1000,8,28
112,alloc,1089,8,27
113,alloc,1053,8,28
114,alloc,-1,8,28
115,alloc,1062,8,29
116,alloc,-1,8,30
117,alloc,1053,8,30
118,alloc,1072,8,29
119,alloc,1081,7,28
120,alloc,1002,7,27
121,alloc,1002,8,29
122,alloc,1037,8,30
123,alloc,1008,8,29
124,alloc,1053,8,30
125,alloc,1062,8,30
126,alloc,-1,8,30
127,alloc,1002,8,30
128,alloc,1006,8,29
129,alloc,1007,8,28
130,alloc,-1,8,29
131,alloc,1003,8,28
132,alloc,1007,8,28
133,alloc,1013,8,27
134,alloc,1000,8,27
135,alloc,-1,8,27
136,alloc,-1,8,27
137,alloc,1008,8,26
138,alloc,-1,8,26
139,alloc,-1,8,27
140,alloc,1025,8,26
141,alloc,-1,8,26
142,alloc,1003,8,26
143,alloc,1006,8,26
144,alloc,1013,8,25
145,alloc,1014,8,24
146,alloc,1025,8,23
147,alloc,1062,8,23
148,alloc,1016,8,22
149,alloc,-1,8,22
150,alloc,1089,8,22
151,alloc,1053,8,21
152,alloc,1022,8,20
153,alloc,1072,8,20
154,alloc,1053,8,21
155,alloc,1037,8,21
156,alloc,1081,4,22
157,alloc,-1,5,23
158,alloc,1022,5,22
159,alloc,-1,5,22
160,alloc,-1,5,23
161,alloc,-1,5,24
162,alloc,-1,5,24
163,alloc,1025,5,27
164,alloc,1003,6,27
165,alloc,-1,6,27
166,alloc,-1,6,28
167,alloc,1044,6,27
168,alloc,1034,6,28
169,alloc,-1,6,30
170,alloc,-1,6,30
171,alloc,-1,6,31
172,alloc,-1,6,31
173,alloc,1025,6,30
174,alloc,-1,6,30
175,alloc,1008,6,29
176,alloc,1016,6,28
177,alloc,-1,7,30
178,alloc,1062,6,29
179,alloc,1072,6,28
180,alloc,1002,7,31
181,alloc,1008,7,34
182,alloc,1000,7,33
183,alloc,-1,7,33
184,alloc,1016,7,32
185,alloc,-1,7,33
186,alloc,-1,7,33
187,alloc,-1,7,33
188,alloc,1003,7,32
189,alloc,-1,7,32
190,alloc,1022,7,32
191,alloc,1000,7,31
192,alloc,1062,6,30
193,alloc,-1,6,30
194,alloc,-1,6,33
195,alloc,-1,7,35
196,alloc,1003,7,34
197,alloc,1000,7,33
198,alloc,1062,6,32
199,alloc,-1,6,32
200,alloc,-1,7,33
201,alloc,1037,7,32
202,alloc,-1,7,32
203,alloc,1044,7,32
204,alloc,1002,7,31
205,alloc,1003,7,30
206,alloc,1062,6,30
207,alloc,-1,6,32
208,alloc,-1,6,32
209,alloc,1008,6,31
210,alloc,1000,6,32
211,alloc,1002,6,31
212,alloc,1008,7,32
213,alloc,1000,7,32
214,alloc,1032,7,31
215,alloc,1008,7,31
216,alloc,1016,7,32
217,alloc,1003,7,32
218,alloc,-1,7,32
219,alloc,-1,7,32
220,alloc,1022,7,31
221,alloc,1062,6,34
222,alloc,-1,7,35
223,alloc,1025,7,34
224,alloc,1000,7,34
225,alloc,1025,7,34
226,alloc,1000,7,33
227,alloc,-1,7,33
228,alloc,-1,7,35
229,alloc,1025,7,34
230,alloc,-1,7,35
231,alloc,1008,7,34
232,alloc,1003,7,33
233,alloc,-1,7,34
234,alloc,1037,7,33
235,alloc,1002,7,34
236,alloc,-1,7,34
237,alloc,-1,7,35
238,alloc,1062,6,34
239,alloc,1037,6,33
240,alloc,1002,6,33
241,alloc,1003,7,33
242,alloc,-1,7,34
243,alloc,-1,7,34
244,alloc,1008,7,33
245,alloc,1000,7,32
246,alloc,-1,7,32
247,alloc,1022,7,32
248,alloc,-1,7,34
249,alloc,1037,7,33
250,alloc,1032,7,32
251,alloc,-1,7,34
252,alloc,-1,7,35
253,alloc,-1,7,35
254,alloc,1002,7,34
255,alloc,1000,7,34
256,alloc,-1,7,35
257,alloc,1002,7,34
258,alloc,1000,7,33
259,alloc,1037,7,32
260,alloc,1008,7,32
261,alloc,1044,7,31
262,alloc,1008,7,34
263,alloc,-1,7,34
264,alloc,1062,6,33
265,alloc,1062,6,33
266,alloc,1025,6,32
267,alloc,-1,6,32
268,alloc,-1,7,35
269,alloc,-1,7,35
270,alloc,-1,7,35
271,alloc,1062,6,34
272,alloc,-1,6,34
273,alloc,1000,7,34
274,alloc,1032,7,33
275,alloc,-1,7,34
276,alloc,1025,7,34
277,alloc,-1,7,34
278,alloc,1000,7,33
279,alloc,1025,7,33
280,alloc,1008,7,34
281,alloc,-1,7,35
282,alloc,1062,6,34
283,alloc,-1,7,35
284,alloc,1062,6,34
285,alloc,1025,7,34
286,alloc,-1,7,35
287,alloc,-1,7,35
288,alloc,-1,7,35
289,alloc,1008,7,34
290,alloc,-1,7,35
291,alloc,-1,7,35
292,alloc,1002,7,34
293,alloc,1003,7,33
294,alloc,-1,7,35
295,alloc,1008,7,34
296,alloc,1002,7,34
297,alloc,1025,7,33
298,alloc,1053,7,32
299,alloc,1006,7,31
300,alloc,1000,7,30
301,alloc,1037,7,34
302,alloc,1000,7,33
303,alloc,1008,7,32
304,alloc,-1,7,33
305,alloc,1025,7,32
306,alloc,1003,7,34
307,alloc,-1,7,35
308,alloc,-1,7,35
309,alloc,1025,7,34
310,alloc,1062,6,34
311,alloc,1003,6,33
312,alloc,1000,6,32
313,alloc,-1,6,32
314,alloc,1025,6,31
315,alloc,-1,6,32
316,alloc,1008,6,31
317,alloc,1016,6,30
318,alloc,1037,6,31
319,alloc,-1,6,31
320,alloc,-1,6,31
321,alloc,1016,6,30
322,alloc,1044,6,29
323,alloc,1002,6,28
324,alloc,-1,6,29
325,alloc,1006,6,28
326,alloc,-1,6,28
327,alloc,1002,6,29
328,alloc,1044,6,29
329,alloc,1048,6,28
330,alloc,-1,6,28
331,alloc,1025,7,28
332,alloc,1002,7,28
333,alloc,-1,7,33
334,alloc,1037,7,33
335,alloc,1025,7,32
336,alloc,1000,7,31
337,alloc,-1,7,32
338,alloc,-1,7,33
339,alloc,1003,7,33
340,alloc,1022,7,32
341,alloc,-1,7,32
342,alloc,-1,7,32
343,alloc,1025,7,31
344,alloc,-1,7,31
345,alloc,1044,7,30
346,alloc,-1,7,31
347,alloc,1008,7,34
348,alloc,1000,7,34
349,alloc,1008,7,34
350,alloc,1008,7,34
351,alloc,1003,7,33
352,alloc,1062,6,32
353,alloc,1025,6,31
354,alloc,-1,6,33
355,alloc,1003,6,32
356,alloc,1037,6,31
357,alloc,-1,6,32
358,alloc,-1,6,32
359,alloc,1016,6,31
360,alloc,1008,7,33
361,alloc,1025,7,33
362,alloc,-1,7,35
363,alloc,1025,7,34
364,alloc,1062,6,33
365,alloc,1008,6,32
366,alloc,1062,6,33
367,alloc,1016,6,32
368,alloc,1002,6,31
369,alloc,1003,7,33
370,alloc,-1,7,34
371,alloc,1000,7,34
372,alloc,-1,7,35
373,alloc,1025,7,34
374,alloc,1062,6,33
375,alloc,-1,7,35
376,alloc,1002,7,34
377,alloc,1062,6,34
378,alloc,-1,7,35
379,alloc,-1,7,35
380,alloc,1000,7,34
381,alloc,1025,7,33
382,alloc,1008,7,32
383,alloc,-1,7,34
384,alloc,-1,7,35
385,alloc,1002,7,34
